gtin,mfg-name,asin,seller-sku,title,description,main-image,listing-price,mfg-part-number,category-id,seller-id,weight
0102P0SORHX,Shinyi,B00I3XU1M8,CPLM00001,"JustNile 4-Piece Weave Design Placemat Set - Grass Yellow","Make meal time a little more stylish while protecting your table with these easy to clean and durable place mats.",http://ecx.images-amazon.com/images/I/51K9TsD0bcL._SL75_.jpg,13.99,712392452021,1234,ABCD,1kg
0102P0SOS09,Youpin,B00I3XU376,CPLM00016,"JustNile 4-Piece Multi-Colored Striped Placemat Set - Blue","Make meal time a little more stylish while protecting your table with these easy to clean and durable place mats.",http://ecx.images-amazon.com/images/I/51nKYuNSqfL._SL75_.jpg,13.99,712392452175,1234,ABCD,1kg
0102P0SOTNF,Shinyi,B00I3XU5DS,CPLM00004,"JustNile 4-Piece Victorian Pattern Placemat Set - Silver","Make meal time a little more stylish while protecting your table with these easy to clean and durable place mats.",http://ecx.images-amazon.com/images/I/51niVIQXazL._SL75_.jpg,13.99,712392452052,1234,ABCD,1kg
0102P0SOTUX,Youpin,B00I3XU5Z6,CPLM00019,"JustNile 4-Piece Thick Striped Placemat Set - Blue","Make meal time a little more stylish while protecting your table with these easy to clean and durable place mats.",http://ecx.images-amazon.com/images/I/51H8ywmQapL._SL75_.jpg,13.99,712392452205,1234,ABCD,1kg
0102P0SOUQL,Shinyi,B00I3XU6IC,CPLM00006,"JustNile 4-Piece Victorian Pattern Placemat Set - Brown","Make meal time a little more stylish while protecting your table with these easy to clean and durable place mats.",http://ecx.images-amazon.com/images/I/61LTWv8SClL._SL75_.jpg,13.99,712392452076,1234,ABCD,1kg
0102P0VTTHX,"APOLLO INDUSTRIAL CO., LTD",B00ROSJURK,KPLP00001,"Green Dub Eco-Friendly Biodegradable Wood Fiber Flower/Plant Pot - 5-inch Ear...","Being environmentally conscious isn&apos;t just for spotted owl huggers and granola eaters anymore. Going green has become the trend and Green Dub products help bring the green fad into your home. Made out of a wood fiber composite, Green Dub&apos;s products are recycleable, biodegradable, and have a very natural look, feel and smell. PEFC certified wood flour with German technology is used as raw material. This plant/ flower pot measures 5&quot; and is ideal for small plants, flowers and herbs.",http://ecx.images-amazon.com/images/I/417xOXDYjVL._SL75_.jpg,13.99,712392456173,1234,ABCD,1kg
0102P0VTUK9,"APOLLO INDUSTRIAL CO., LTD",B00ROSJVTC,KPLP00002,"Green Dub Eco-Friendly Biodegradable Wood Fiber Flower/Plant Pot - 5-inch Kin...","Being environmentally conscious isn&apos;t just for spotted owl huggers and granola eaters anymore. Going green has become the trend and Green Dub products help bring the green fad into your home. Made out of a wood fiber composite, Green Dub&apos;s products are recycleable, biodegradable, and have a very natural look, feel and smell. PEFC certified wood flour with German technology is used as raw material. This plant/ flower pot measures 5&quot; and is ideal for small plants, flowers and herbs.",http://ecx.images-amazon.com/images/I/41IpgN9mWLL._SL75_.jpg,13.99,712392456180,1234,ABCD,1kg
0102P0W9VPR,Snnei,B00KQ5S8C6,CSBT00001,"JustNile Wooden Replica Sailboat Model - 15"" X 9"" White w/ Blue Stripes","There&apos;s something about a sailboat, maybe the symolizing of freedom, fond memories of the beach or their association with that perfectly pleasant day that adds warmth to any home or office. It comes fully assembled (not a DIY kit) and makes a great gift.",http://ecx.images-amazon.com/images/I/41MCMku58fL._SL75_.jpg,19.99,712392456883,1234,ABCD,1kg
0102P0W9WLF,Snnei,B00KQ5T64A,CSBT00002,"JustNile Wooden Replica Sailboat Model - 12"" X 8"" Navy Blue Sail","There&apos;s something about a sailboat, maybe the symolizing of freedom, fond memories of the beach or their association with that perfectly pleasant day that adds warmth to any home or office. It comes fully assembled (not a DIY kit) and makes a great gift.",http://ecx.images-amazon.com/images/I/41TXJ2Y9DhL._SL75_.jpg,15.99,712392456890,1234,ABCD,1kg
0102P0XCF7R,Woliwowa,B00KRR1KGE,CSVT00005,"JustNile 4-Piece Ceramic Party Serving Dish Set with Tray - Dark Wood Tray","Any seasoned party thrower knows that the details can really make or break the shindig. Don&apos;t forget to put out candy and mints for people to chow down on and this 4 bowl serving set is perfect for that.",http://ecx.images-amazon.com/images/I/31L9M1hciCL._SL75_.jpg,29.99,712392457392,1234,ABCD,1kg
0102P0XCH39,Woliwowa,B00KRQYAYE,CSVT00003,"JustNile 3-Piece Ceramic Party Serving Dish Set with Tray - Dark Wood Tray","Any seasoned party thrower knows that the details can really make or break the shindig. Don&apos;t forget to put out candy and mints for people to chow down on and this 3 bowl serving set is perfect for that.",http://ecx.images-amazon.com/images/I/31Kjg0aHthL._SL75_.jpg,25.99,712392457378,1234,ABCD,1kg
0102P0XSABR,V.Bars,B00ROSJURK,CSVT00001,"JustNile Stainless Steel Party Serveware - 2-Tier Dessert/Fruit Platter","This stainless steel serving tray makes a nice addition to any kitchen or can be brought out to accent a party's d?cor. The top plate is 9"" in diameter and the bottom plate is 11"". Hand wash only.",http://ecx.images-amazon.com/images/I/41zo5qUUj3L._SL75_.jpg,32.99,712392456760,1234,ABCD,1kg
0102P0XSCD3,QingXiTaoCi,B00NGGEJ4I,CSVT00006,"JustNile 4-Piece Ceramic Party Serving Dish Set with Tray - White Ceramic Tray","Any seasoned party thrower knows that the details can really make or break the shindig. Don&apos;t forget to put out candy and mints for people to chow down on and this 5 - piece serving set is perfect for that.",http://ecx.images-amazon.com/images/I/31%2BsLx6E7dL._SL75_.jpg,45.99,712392458290,1234,ABCD,1kg
0102P0Z35ZL,Aspire,B00OOJ14HG,CSHC00031,"JustNile 71X71"" Modern Shower Curtain - Colorful Scribbled Circles","Add a splash of color to any bathroom with this vibrant shower curtain. Measures 71&quot; X 71&quot; and is easy to clean. Easy to snap-on with built-in rings.",http://ecx.images-amazon.com/images/I/41A9rxPnNnL._SL75_.jpg,18.99,712392459167,1234,ABCD,1kg
0102P1049EL,"APOLLO INDUSTRIAL CO., LTD",B00KILDIA0,KSDH00001,"Green Dub Eco-Friendly Biodegradable Wood Fiber 2-Pack Soap Dish - Oval Earth...","Being environmentally conscious isn&apos;t just for spotted owl huggers and granola eaters anymore. Going green has become the trend and Green Dub products help bring the green fad into your home. Made out of a wood fiber composite, Green Dub&apos;s products are recycleable, biodegradable, and have a very natural look, feel and smell. PEFC certified wood flour with German technology is used as raw material. This soap dish is ideal for the bathtub or shower and on the kitchen or bathroom counter top. It measures 5&quot; X 3.5&quot; and has a drainage hole to keep your bar of soap from becoming a pile of messy ooze.",http://ecx.images-amazon.com/images/I/41bhZGLr1hL._SL75_.jpg,12.99,712392456197,1234,ABCD,1kg
